02;10;재런 듀란;0.285;21;75;191;111;34;54
02;16;라파엘 데버스;0.272;28;83;143;87;3;67
03;10;루이스 가르시아;0.282;18;70;141;58;22;27
04;3;애런 저지;0.322;58;144;180;122;10;133
04;9;후안 소토;0.288;41;109;166;128;7;129
06;2;블라디미르 게레로 주니어;0.323;30;103;199;98;2;72
08;5;케텔 마르테;0.292;36;95;147;93;7;65
08;15;루어데스 구리엘;0.279;18;75;143;72;7;29
09;15;훌리오 로드리게스;0.273;20;68;155;76;24;38
12;12;윌리엄 콘트레라스;0.281;23;92;167;99;9;78
12;17;잭슨 추리오;0.275;21;79;145;80;22;39
13;9;스즈키 세이야;0.283;21;73;145;74;16;63
14;3;마르셀 오즈나;0.302;39;104;183;96;1;74
