01;휴스로케;5;0.617;60;37;23;12.0;112.6;;;;;;;;20;10;17;12;10;3;1패;NBAWEST;남서부
02;토론랩터;13;0.311;61;19;42;31.5;110.3;;;;;;;;13;19;6;23;4;8;1승;NBAEAST;대서양
03;밀워벅스;4;0.576;59;34;25;15.5;114.4;;;;;;;;20;9;13;16;6;5;2승;NBAEAST;중부
04;골든워리;7;0.533;60;32;28;17.0;113.0;;;;;;;;17;13;15;15;2;10;1패;NBAWEST;태평양
05;필라76s;11;0.356;59;21;38;28.5;109.2;;;;;;;;11;20;10;18;3;9;1승;NBAEAST;대서양
06;브루네츠;12;0.35;60;21;39;29.0;104.8;;;;;;;;9;20;12;19;3;8;4패;NBAEAST;대서양
07;LA클리퍼;6;0.533;60;32;28;17.0;110.6;;;;;;;;19;10;13;18;6;6;2패;NBAWEST;태평양
08;뉴올펠리;14;0.279;61;17;44;32.5;111.0;;;;;;;;11;19;6;25;3;9;1승;NBAWEST;남서부
09;서울SK;1;0.805;41;33;8;0.0;81.2;20.6;37.4;6.5;2.7;7.3;10.1;68.2;;;;;;;2승;KBL;
10;유타재즈;15;0.25;60;15;45;34.0;112.4;;;;;;;;8;23;7;22;2;9;1패;NBAWEST;북서부
11;댈러매버;10;0.525;61;32;29;17.5;115.0;;;;;;;;19;12;13;17;7;4;1패;NBAWEST;남서부
12;새크킹스;9;0.525;59;31;28;17.5;116.8;;;;;;;;15;14;16;14;4;7;3승;NBAWEST;태평양
13;오클썬더;1;0.817;60;49;11;0.0;119.4;;;;;;;;25;4;23;7;9;3;3승;NBAWEST;북서부
14;디트피스;6;0.557;61;34;27;16.5;114.4;;;;;;;;17;14;17;13;4;9;1승;NBAEAST;중부
