01;24.9.29;애스턴빌라;입스위치;2;2;1
02;22.9.17 ;풀럼;노팅엄 포레스트;3;2;3
02;23.2.12;풀럼;노팅엄;2;0;3
02;23.12.07;풀럼;노팅엄;5;0;3
02;24.4.03;풀럼;노팅엄;1;3;0
02;24.9.28;풀럼;노팅엄;1;0;3
03;11.11.20;맨시티;뉴캐슬;3;1;3
03;12.5.06 ;맨시티;뉴캐슬;2;0;3
03;12.12.15;맨시티;뉴캐슬;3;1;3
03;13.3.31 ;맨시티;뉴캐슬;4;0;3
03;13.8.20 ;맨시티;뉴캐슬;4;0;3
03;14.1.12 ;맨시티;뉴캐슬;2;0;3
03;14.8.18 ;맨시티;뉴캐슬;2;0;3
03;15.2.22 ;맨시티;뉴캐슬;5;0;3
03;15.10.03;맨시티;뉴캐슬;6;1;3
03;16.4.20 ;맨시티;뉴캐슬;1;1;1
03;17.12.28;맨시티;뉴캐슬;1;0;3
03;18.1.21 ;맨시티;뉴캐슬;3;1;3
03;18.9.02 ;맨시티;뉴캐슬;2;1;3
03;19.1.30 ;맨시티;뉴캐슬;1;2;0
03;19.11.30;맨시티;뉴캐슬;2;2;1
03;20.7.09 ;맨시티;뉴캐슬;5;0;3
03;20.12.27;맨시티;뉴캐슬;2;0;3
03;21.5.15 ;맨시티;뉴캐슬;4;3;3
03;21.12.19;맨시티;뉴캐슬;4;0;3
03;22.5.09 ;맨시티;뉴캐슬;5;0;3
03;22.8.22 ;맨시티;뉴캐슬;3;3;1
03;23.3.04;맨시티;뉴캐슬;2;0;3
03;23.8.20;맨시티;뉴캐슬;1;0;3
03;24.1.14;맨시티;뉴캐슬;3;2;3
03;24.9.28;맨시티;뉴캐슬;1;1;1
04;15.11.02;사우샘프턴;본머스;2;0;3
04;16.3.02 ;사우샘프턴;본머스;0;2;0
04;16.12.18;사우샘프턴;본머스;3;1;3
04;17.4.02 ;사우샘프턴;본머스;0;0;1
04;17.12.03;사우샘프턴;본머스;1;1;1
04;18.4.28 ;사우샘프턴;본머스;2;1;3
04;18.10.20;사우샘프턴;본머스;0;0;1
04;19.4.27 ;사우샘프턴;본머스;3;3;1
04;19.9.21 ;사우샘프턴;본머스;1;3;0
04;20.7.19 ;사우샘프턴;본머스;2;0;3
04;22.10.20;사우샘프턴;본머스;1;0;3
04;23.4.28;사우샘프턴;본머스;0;1;0
04;24.10.01;사우샘프턴;본머스;1;3;0
05;21.10.03;웨스트햄;브렌트포드;1;2;0
05;22.4.10 ;웨스트햄;브렌트포드;0;2;0
05;22.12.31;웨스트햄;브렌트포드;0;2;0
05;23.5.14;웨스트햄;브렌트포드;0;2;0
05;23.11.05;웨스트햄;브렌트포드;2;3;0
05;24.2.27;웨스트햄;브렌트퍼드;4;2;3
05;24.9.28;웨스트햄;브렌트퍼드;1;1;1
06;11.11.06;오사수나;레알 마드리드;1;7;0
06;12.4.01 ;오사수나;레알 마드리드;1;5;0
06;13.1.13 ;오사수나;레알 마드리드;0;0;1
06;13.6.02 ;오사수나;레알 마드리드;2;4;0
06;13.12.15;오사수나;레알 마드리드;2;2;1
06;14.4.27 ;오사수나;레알 마드리드;0;4;0
06;16.9.10 ;CA 오사수나;레알 마드리드;2;5;0
06;17.2.12 ;오사수나;레알 마드리드;1;3;0
06;19.9.26 ;오사수나;레알 마드리드;0;2;0
06;20.2.10 ;오사수나;레알 마드리드;1;4;0
06;21.1.10 ;오사수나;레알 마드리드;0;0;1
06;21.5.02 ;오사수나;레알 마드리드;0;2;0
06;21.10.28;오사수나;레알 마드리드;0;0;1
06;22.4.21 ;오사수나;레알 마드리드;1;3;0
06;22.10.03;오사수나;레알 마드리드;1;1;1
06;23.2.19;오사수나;레알 마드리드;0;2;0
06;23.10.07;오사수나;레알 마드리드;0;4;0
06;24.3.17;오사수나;레알 마드리드;2;4;0
06;24.11.09;오사수나;레알 마드리드;0;4;0
07;13.11.10;크리스탈 팰리스;에버턴;0;0;1
07;14.4.17 ;크리스탈 팰리스;에버턴;3;2;3
07;14.9.22 ;크리스탈 팰리스;에버턴;3;2;3
07;15.2.01 ;크리스탈 팰리스;에버턴;0;1;0
07;15.12.08;크리스탈 팰리스;에버턴;1;1;1
07;16.4.14 ;크리스탈 팰리스;에버턴;0;0;1
